movie,gross,release_date
The Banshees of Inisherin,1555301,2023-10-21
The Quiet Girl,1500014,2023-02-24
BlackBerry,1476598,2023-05-12
Spirited Away2023 Re-release (Live on Stage),1455081,2023-04-23
Dicks: The Musical,1453012,2023-10-06
Eileen,1425273,2023-12-01
Maybe I Do,1293722,2023-01-27
The First Slam Dunk,1291869,2023-07-28
Billie Eilish Live at the O2,1290000,2023-01-27
The Big Lebowski,1266945,2023-03-06
Back to the Future,1240710,2023-07-03
Tár,1193875,2023-10-07
The Lost King,1189307,2023-03-24
The Lord of the Rings: The Return of the King2023 Re-release (20th Anniversary),1176085,2023-04-13
Camp Hideout,1125010,2023-09-15
Strange World,1120039,2023-11-23
Close,1100113,2023-01-27
Emily,1097067,2023-02-17
Knights of the Zodiac,1090155,2023-05-12
Broker,1001892,2023-12-23
Showing Up,972074,2023-04-07
Inside,918415,2023-03-17
