Movie,avg_sentiment,total_words
Big George Foreman,1.3986254295532645,291
Knock at the Cabin,1.3932584269662922,267
Radical,1.3925233644859814,107
Black Panther: Wakanda Forever,1.3904382470119523,251
It Lives Inside,1.3849765258215962,213
Anatomy of a Fall,1.3842592592592593,216
Cocaine Bear,1.375,232
BTS: Yet to Come in Cinemas,1.372340425531915,94
The Blind,1.3706896551724137,348
Oldboy2023 Re-release,1.3627450980392157,102
Past Lives,1.3584415584415583,385
Transformers: Rise of the Beasts,1.3526011560693643,173
Emily,1.3509316770186335,322
Infinity Pool,1.3463203463203464,231
Plane,1.3333333333333333,306
Talk to Me,1.330708661417323,254
John Wick: Chapter 4,1.3277027027027026,296
Freelance,1.3272727272727274,165
The Flash,1.325,160
Ferrari,1.3233532934131738,167
The Machine,1.3194444444444444,144
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1.3181818181818181,176
Women Talking,1.3125,192
The Retirement Plan,1.306930693069307,202
Silent Night,1.2925373134328357,335
Indiana Jones and the Dial of Destiny,1.290983606557377,244
Dumb Money,1.2901234567901234,162
The Boogeyman,1.235,200
The Last Voyage of the Demeter,1.2152466367713004,223
Eileen,1.2134831460674158,89
Bottoms,1.2083333333333333,144
Everything Everywhere All at Once,1.2034313725490196,408
The Whale,1.1916167664670658,334
The Wandering Earth II,1.187793427230047,213
Saw X,1.1865079365079365,252
Pathaan,1.1772151898734178,79
Thanksgiving,1.1712962962962963,216
Come Out in Jesus Name,1.1675824175824177,364
Violent Night,1.1054545454545455,275
Creed III,1.1047619047619048,315
Mafia Mamma,1.0613207547169812,212
M3GAN,1.0526315789473684,152
Strays,1.0483870967741935,186
House Party,1.0434782608695652,138
Aquaman and the Lost Kingdom,1.0279329608938548,179
The Iron Claw,1.0265486725663717,339
Haunted Mansion,1.02,250
Left Behind: Rise of the Antichrist,0.9969230769230769,325
The Pope's Exorcist,0.9962264150943396,265
Godzilla Minus One,0.9788732394366197,284
The Hunger Games: The Ballad of Songbirds & Snakes,0.9708029197080292,274
Retribution,0.9681528662420382,157
Moving On,0.9647058823529412,85
Wish,0.9595959595959596,396
A Man Called Otto,0.9560439560439561,455
Nefarious,0.9389067524115756,311
Golda,0.9148936170212766,282
The Shift,0.8953488372093024,172
Beau Is Afraid,0.8902077151335311,337
Inside,0.8595505617977528,178
Animal,0.8559322033898306,118
The Marvels,0.8480392156862745,204
Close,0.803030303030303,396
Salaar,0.8,65
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,0.788135593220339,118
The Exorcist: Believer,0.7760736196319018,326
Sisu,0.7658536585365854,205
Strange World,0.765625,192
Winnie-the-Pooh: Blood and Honey,0.7225130890052356,191
Scream VI,0.6816816816816816,333
Die Hard2023 Re-release,0.6578947368421053,76
Napoleon,0.5291005291005291,189
Sound of Freedom,0.4721189591078067,269
After Death,0.4717948717948718,390
Skinamarink,0.3264705882352941,340
Evil Dead Rise,0.30113636363636365,352
Dicks: The Musical,0.2972972972972973,111
His Only Son,0.21568627450980393,51
Fear,0.14553990610328638,213
