"","movie","DatePosted","Comment"
"40","Barbie",2023-05-29,"She completely embodies barbie. Exactly how I would imagine barbie as a real human<br><br>Edit: why is everyone hating on Margot she is literally one of the prettiest celebrities"
"41","Barbie",2023-05-29,"I never thought this day would come, yet here I am legit thinking of seeing a Barbie film in theatres"
"42","Barbie",2023-05-25,"This feels like it’s gonna give kids their first existential crisis and I’m all for it"
"43","Barbie",2023-05-25,"I have a feeling that this movie will be a lot more deep and tear-evoking than just &quot;a Barbie doll goes on silly adventures.&quot; I&#39;m all for it."
"44","Barbie",2023-05-25,"That final line where the ideas lasts forever, is simply masterclass."
"45","Barbie",2023-05-25,"When Ryan Gosling appears at the back of the car and starts singing got me laughing out loud. Barbie looks so good, sounds like it has a witty script, a well-rounded plot that isn&#39;t just frills and great acting."
"46","Barbie",2023-06-26,"This movie is giving me late 90s, early 2000 vibes. It’s nice to see Hollywood making more weird, light-hearted, comedy films."
"47","Barbie",2023-06-01,"I&#39;m clearly not the target audience for this movie, but I&#39;m happy this movie exists. I am so tired of heartless remakes, reboots, reimaginings, sequels, prequels, etc, so it&#39;s refreshing to see people doing original things once again."
"48","Barbie",2023-06-01,"The way all barbie and Ken&#39;s lines sound like some absolutely feral play session with an 8 year old is what makes it for me"
"49","Barbie",2023-05-25,"This cast is amazing and will Ferrell as an antagonist is always a win!"
"50","Barbie",2023-05-26,"Me and the boys gonna be strollin into the theatre with full business suits on to witness this masterpiece"
"51","Barbie",2023-05-25,"I really feel like Ryan is going to kill it in this role, lol.  That scene at the end of the trailer had me rolling!"
"52","Barbie",2023-05-29,"I love how they make, at the same time, fun of and a hommage to Barbie."
"53","Barbie",2023-05-25,"I literally screamed at the 2 seconds of hearing I&#39;m a Barbie girl! I knew they&#39;re gonna have to put that song somewhere! I bet it’s gonna be in the credits"
"54","Barbie",2023-05-25,"This is a miracle. insert this directly into my brain immediately."
"55","Barbie",2023-07-07,"Finally a trailer that manages to make you curious about the movie and doesn&#39;t spoil the plot."
"56","Barbie",2023-05-25,"“Humans only have one ending, ideas live forever.” Greta Gerwig is making a masterpiece!"
"57","Barbie",2023-05-25,"The &quot;Barbie&quot; theme song at the end of the trailer is &quot;PEAK CINEMA&quot;.<br>Barbie is going to change the world forever. Let&#39;s go 🎉"
"58","Barbie",2023-05-29,"Can&#39;t wait to go to the cinemas with me and the boys wearing suits and watching this masterpiece"
"59","Barbie",2023-05-26,"I love the fact that she has to float from the top of her house to get to the car because they never put stairs in doll houses, is just so funny lmfao"
"60","Barbie",2023-05-26,"i&#39;m super excited for this movie! one thing i don&#39;t see a lot of people talking about is how they absolutely NAILED the texture variation in the different types of plastic. it really sells the whole &#39;playset&#39; look of the houses and accessories. cars, slides, and roller skates are smooth and super shiny, while larger areas like the houses are made from a less shiny type."
"61","Barbie",2023-05-29,"This legitimately looks amazing. The shots look beautful, the sets are stunning, the cast is stacked, and the writing seems decent. Going to watch this in theatres"
"62","Barbie",2023-05-25,"Can&#39;t wait to see it, also love the fact they added Barbie girl at the end of the trailer just so people would shut up about it. Looks really good and it feels like a modern 2000s movie"
"63","Barbie",2023-05-26,"Kate’s character holding the Birkenstock really got me. 😂 Like I had to pause it and I couldn’t stop laughing! This is going to be a phenomenal movie."
"64","Barbie",2023-05-29,"I LOVE the fact Make Your Own Kind of Music is in this trailer. Goes with the ‘doing your own thing’ theme of Barbie"
"65","Barbie",2023-05-28,"Ryan Gosling seems to be killing it as Ken. I want to watch it just for his character honestly."
"66","Barbie",2023-05-26,"I&#39;ve grown up with bratz, barbie, and monster high. But Barbie was the one doll that had a HUGE part in my childhood. Seeing the trailer and all the hype for this movie makes me so excited, I can&#39;t wait to see Margot, Ryan, and America. Such a good casting! &lt;3"
"67","Barbie",2023-05-26,"&quot;If you love Barbie, this movie is for you, if you hate Barbie, this movie is for you&quot; is basically Greta Gerwig and her team saying that even if you don&#39;t like Barbie, you&#39;re still gonna have a great time watching this and i absolutely love that"
"68","Barbie",2023-06-03,"I love how excited Ken is about getting arrested both times. And his name being and Ken is iconic. And of course the Kate McKinnon Barbie is everything and I love all the Barbie aesthetics. Wonder if they’re going to get arrested because they steal clothes because they don’t know that they have to pay for them. Oh I am so exited."
"69","Barbie",2023-07-11,"As a 57 year old woman who never stopped loving Barbie, I say BRING. IT. ON!!"
"70","Barbie",2023-05-25,"The amount of times I’m gonna watch this movie omg"
"71","Barbie",2023-05-29,"I love how campy and clever this film looks. Seriously can’t wait"
"72","Barbie",2023-05-25,"How the freak did they make this actually look seriously good? I mean c&#39;mon, the whole thing is ridiculous and it works fantastically already. Also love how they have the balance between loving and hating Barbie, because I think that&#39;s where I am 😂"
"73","Barbie",2023-05-26,"Greta Gerwin has always been special, and her, having such a talented cast at her command, helps her case a lot"
"74","Barbie",2023-05-25,"This looks a lot like &quot;Enchanted&quot; but with Barbie and I love it. That&#39;s one of my favorite premises, two worlds, very different, blending together :D"
"75","Barbie",2023-05-25,"I found myself smiling through the whole trailer. I think my inner little girl is really excited. <br><br>Definitely gonna see it!"
"76","Spider-Man: Across the Spider-Verse",2022-12-13,"It&#39;s nice seeing how much Miles has grown. In the first movie, he needed his father&#39;s guidance, and in the second, it seems he needs his mother&#39;s. This movie is going to be so worth the wait."
"77","Spider-Man: Across the Spider-Verse",2022-12-14,"you can tell how much everyone loves miles! look at how all those other spidermen are trying to hug him!"
"78","Spider-Man: Across the Spider-Verse",2022-12-19,"I love the transition from finding who you are to seeing if you can uphold your ideals in the real world and what it&#39;s like to deal with the pain and conflict of real life"
"79","Spider-Man: Across the Spider-Verse",2023-04-03,"Miles&#39;s mom&#39;s message is one of the the greatest trailer lines around. Gets me every time"
"80","Spider-Man: Across the Spider-Verse",2022-12-17,"30 seconds in, I was already getting goosebumps from the music, the dialogue, the flashbacks. This trailer lived well up to expectations, and beyond."
"81","Spider-Man: Across the Spider-Verse",2023-01-29,"&quot;We are supposed to be the good guys.&quot;<br>&quot;We are.&quot;<br>I get chills everytime. I come back to this video just to hear that line reading again."
"82","Spider-Man: Across the Spider-Verse",2022-12-13,"The one thing I love about these movies is the art design! It’s honestly amazing. Paired with the story and characters I don’t see this movie being anything but great."
"83","Spider-Man: Across the Spider-Verse",2022-12-15,"I know everyone is talking about the art style and how much Miles grew and it’s absolutely amazing but I gotta say the soundtrack is beautiful it really gives you the sense of what Miles is going through and how as a hero he should act ! Can’t wait for this masterpiece:)"
"84","Spider-Man: Across the Spider-Verse",2022-12-13,"That moment when you&#39;re more excited for a trailer than you&#39;ve been all year for anything else<br><br>Edit: to all the people who say that my life must be pretty depressing, I say you are completely and 100% correct"
"85","Spider-Man: Across the Spider-Verse",2022-12-13,"I had the biggest smile on my face when I saw Peter B. Parker in the bath robe and the baby holder on his chest! Really makes the “Do I want kids?” line from the last movie come back in an amazing way."
"86","Spider-Man: Across the Spider-Verse",2022-12-13,"A trailer that gives a new idea, a general sense of the story and pulling some heart strings, WITHOUT GIVING AWAY THE FREAKING STORY.   I thought they forgot how to make exciting trailers like this.  I&#39;m super hyped for the movie."
"87","Spider-Man: Across the Spider-Verse",2022-12-18,"That slam at the end was personal as hell"
"88","Spider-Man: Across the Spider-Verse",2022-12-13,"MASSIVE appreciation for the VA of Mile’s mother here, I swear it’s like I can hear her holding back tears<br><br>EDIT: her name is Luna Lauren Vélez for those who wanna know!"
"89","Spider-Man: Across the Spider-Verse",2022-12-13,"I don&#39;t know what impressed me more: The beautiful animation or the fact that a trailer didn&#39;t spoil half of its movie"
"90","Spider-Man: Across the Spider-Verse",2022-12-13,"That last scene with him being chased by all the other spidermen was epic. This movie is going to blow our minds👍"
"91","Spider-Man: Across the Spider-Verse",2023-02-22,"I remember watching this movie and seeing Miles talk to Stan Lee, asking if he could return the costume if it doesn’t fit, but as Stan himself said “it always fits eventually”. That is what these heroes and especially spider-man are suppose to represent that anyone can be a hero regardless of who you are or we’re you came from. If you are standing up for what you know is right not just for yourself but for others, that is what makes someone a true hero. Thank you Stan Lee for the decades of stories and the characters that show who we can become and who we desire to be someday."
"92","Spider-Man: Across the Spider-Verse",2022-12-13,"At the end of the first film I wondered if Peter B. would end up having kids with MJ as the film implied, and seeing him with a baby carrier just made my little continuity-loving heart sing. I&#39;m so excited for this movie! I&#39;m glad nothing major was spoiled in this trailer"
"93","Spider-Man: Across the Spider-Verse",2022-12-13,"Might just be the most emotionally mature and emotionally relatable trailer I&#39;ve ever seen. Just one mother&#39;s love for her son. Everyone with a good mother has had a conversation like this."
"94","Spider-Man: Across the Spider-Verse",2022-12-13,"This is a perfect example of how you do a trailer. You’re not getting a synopsis or plot of the the entire movie, but it perfectly gives you a setting and a vibe. That’s a trailer!!!"
"95","Spider-Man: Across the Spider-Verse",2022-12-18,"Watching the first spider verse movie in the cinemas when I was 13 is the movie that made me realise that I wanted to be an animator- I’m 17 now and WELL on my way to becoming one :) this movie was such an inspiration for me and it still is 4 years later"
"96","Spider-Man: Across the Spider-Verse",2022-12-13,"I really love that 2099 Spidey is in this. He&#39;s easily one of my favorite versions of Spider-Man."
"97","Spider-Man: Across the Spider-Verse",2023-04-12,"&quot;wherever you go you have to take care of that little boy for me. make sure he never forgets where came from and never doubts he is loved&quot;<br><br><br>i always get chills on this one, i can really feel it"
"98","Spider-Man: Across the Spider-Verse",2022-12-13,"The quality of the visuals are 10/10. Love how they seamlessly blend the different animation styles together. Another banger movie as expected from Lord &amp; Miller"
"99","Spider-Man: Across the Spider-Verse",2022-12-13,"I was not expecting to get emotional when I first saw the title of this trailer, but speaking as a father to a young son, Miles&#39;s mother captured the entire essence and struggle of a parent&#39;s journey in one piece of dialogue. Amazing."
"100","Spider-Man: Across the Spider-Verse",2022-12-13,"A sequel to an amazing animated film. Still to this day the music, colors and imagination the first one had is top tier. The influence it has on other series is awesome and I can only hope miles gets more love in this movie."
"101","Spider-Man: Across the Spider-Verse",2022-12-15,"Pouring one out for all the animators being sacrificed to bring this into existence."
"102","Spider-Man: Across the Spider-Verse",2023-02-25,"Damn seeing Peter as a father is emotional. Looks like he&#39;s come so far from the first film and I can&#39;t wait to see him again"
"103","Spider-Man: Across the Spider-Verse",2022-12-13,"The first Spider-Verse movie opened up so many gateways for Marvel and Sony that resulted in NWH being made! Can&#39;t even imagine what this one&#39;s gonna bring!"
"104","Spider-Man: Across the Spider-Verse",2022-12-13,"It’s so cool seeing so many different kinds of spidermen, especially when they actually make them relatable and realistic to what teens would do. What a great time to be alive to be able to see it come to life on the big screen."
"105","Spider-Man: Across the Spider-Verse",2022-12-14,"Many people were surprised by Spider-Man: Into the Spider-Verse when it came out. They didn&#39;t expect it to be as successful as it was, and it gave us a new perspective on the world of superheroes. It also brought back our sense of wonder about the possibilities of animation. It introduced us to the new hero, Miles Morales, and showed us how he is just as compelling as Peter Parker. I am so excited to see more epic things coming to the upcoming Spider-Man: Across the Spider-Verse."
"106","Spider-Man: Across the Spider-Verse",2022-12-13,"Spider-Man is a character you can’t help but root for! He has this amazing emotional connection with his fans that no other superhero has. <br>I still cry happy tears in NWH when MJ is saved by Peter 3 and I watched that film several times!"
"107","Spider-Man: Across the Spider-Verse",2022-12-14,"I can&#39;t wait to see this movie next year. When I saw the first Spider Verse it instantly became one of my favorite movies of all time. The animation, the visuals, the writing, dialogue, and musical score were all phenomenal. If the first one was good then the sequel could be just as good. 💖💖💖"
"108","Spider-Man: Across the Spider-Verse",2022-12-13,"This movie was the most visually stunning cinema of the last 5 years. Maybe even longer. The fact that is had loveable characters, well written dialogue, and a superhero story that didn&#39;t feel like a rehash of the same tired tropes? That was all just gravy.<br><br>If this sequel manages to bring it visually again, and still work in even a fraction of the same charm, it&#39;ll be a huge success."
"109","Spider-Man: Across the Spider-Verse",2022-12-14,"Looks intense. Love seeing how badass Spidey 2099 is, popping the claws out and everything."
"110","Spider-Man: Across the Spider-Verse",2022-12-14,"seriously, more movie trailers today needs to have a story behind it like this one, not just action scenes and dramatic music, but actually paying tribute to the message of the movie"
"111","Spider-Man: Across the Spider-Verse",2022-12-14,"I love how Miles’ mother is kind of describing what’s gonna happen or what the story will be."
"112","Spider-Man: Across the Spider-Verse",2023-04-04,"UGH this made my cry. The way she speaks to Miles is warm. Im a mother now and my only wish is that my child grows up knowing he is loved. Im breaking the mexican misogyny and opening doors to talk about mental illness without having to sugarcoat anything. It’s something i want my baby to know. Thats feeling emotional doesnt make u we it makes you human and thats okay ❤"
"113","Spider-Man: Across the Spider-Verse",2022-12-13,"This is my most anticipated movie. I can&#39;t wait to see Miles grow even more in this film 💙"
"114","Spider-Man: Across the Spider-Verse",2022-12-13,"Now that&#39;s a good trailer. Getting us emotionally invested instead of just spoiling the coolest scenes and plot of the movie"
"115","Spider-Man: Across the Spider-Verse",2023-01-09,"I swear this is the only trailer I&#39;ve come back to multiple times almost daily. Idk there&#39;s just something so addicting about it. The heart, animation, music, action, message. I love it."
"116","Spider-Man: Across the Spider-Verse",2022-12-15,"Loved the shot where Miles and Gwen first see all the different Spider people. Then the sudden shock at the end when they are all attacking Miles. Im extremely hyped for the movie."
"117","Spider-Man: Across the Spider-Verse",2022-12-16,"I loved into the spider- verse. Not only it&#39;s ny favorite spider- man movie ,and one of my favorite animated features films, but it&#39;s literally one of my favorite movies of all times. It&#39;s a love letter to Spiderman, and pushed the boundaries of what animation as a medium is truly capable of.<br>I cant wait to see what across the spider- verse ,and beyond the spider verse will bring us to the table 🕷🕸"
"118","Spider-Man: Across the Spider-Verse",2022-12-20,"I watched Into the Spiderverse with my dad just before my last year of high-school after a long series of personal struggles. This one comes just before I finish my Bachelor&#39;s degree and just before I move on to my last 3 to get my masters, all the while I&#39;ve had a lot of personal struggles. They keep dropping when I&#39;ve needed em, when I least expected. So excited for this one!"
"119","Spider-Man: Across the Spider-Verse",2022-12-13,"I love that these trailers don&#39;t give away the plot. I&#39;m curious as to what happens and that&#39;s how trailers should make the audience feel."
"120","Spider-Man: Across the Spider-Verse",2022-12-13,"What more could a huge Spider-Man fan want than to see so many Spider-Men in one shot? 🕷️🕷️🕷️🕸️🕸️🔥🔥"
"121","Spider-Man: Across the Spider-Verse",2022-12-13,"To everyone who spent all days and years working on this movie I want to thank you for putting everything into this and I hope your families are proud of you. You&#39;re all the real heros"
"122","Spider-Man: Across the Spider-Verse",2022-12-13,"Can’t lie, the opening speech from Miles’ mon left me in tears. I just moved across the globe for a job. And i haven’t felt alone and out of place like this in so long. That speech reminded me of my folks. Jeez, I’m a wreck right now. <br><br>Haha, will prob cry again when i watch this in theaters. This trailer is incredible, and its got me tied in emotionally already."
"123","Spider-Man: Across the Spider-Verse",2022-12-13,"Seeing all these Spider-Men together on the big screen is going to be magical just like No Way Home was. What a great time to be a Spider-Man fan."
"124","Spider-Man: Across the Spider-Verse",2022-12-13,"I can&#39;t wait to see this movie next year. When I saw the first Spider Verse it instantly became one of my favorite movies of all time. The animation , the visuals, the writing , dialogue,  and musical score were all phenomenal. If the first one was good then the sequel could be just as good."
"125","Spider-Man: Across the Spider-Verse",2022-12-13,"I’m a huge fan of animation and its techniques / processes, so much that I actually started tearing up a little watching this trailer as silly as it is. It’s just really nice to see something that obviously has a lot of passion, creativity, and love put towards it to pay tribute to not just animation as a creative medium, but also to Spider-Man ."
"126","Spider-Man: Across the Spider-Verse",2022-12-13,"Can we talk about how amazing the animation is... like those creators really deserve a raise man..."
"127","Spider-Man: Across the Spider-Verse",2022-12-13,"I’m so excited for this movie and seeing Miles and Gwen back on the big screen is going to be Spectacular I can’t wait for the trailer 🔥🔥🔥🕷️🕷️🕷️"
"128","Spider-Man: Across the Spider-Verse",2022-12-13,"It was a great choice having his mother narrate the beginning ❤ It shows how her fighting spirit will play a role in his story this time around, and to anyone who’s played the game you know how important her motivation is!"
"129","Spider-Man: Across the Spider-Verse",2022-12-16,"Teared up through it all. That speech his mother give about not forgeting and remembering and acceptance of who you are is so beautiful. Resonates so much with the period I&#39;m going through my life."
"130","Spider-Man: Across the Spider-Verse",2022-12-13,"Into the Spiderverse inspired the animation industry to experiment more instead of chasing tehnically advanced graphical fidelity like Pixar and Disney, on top of being the best Spidey animated film ever. I&#39;m so excited to see what Across the Spiderverse brings to not just fans of Spider-Man, but also fans of animation ❤️ Thank you to everyone working to make these films great!<br><br>Edit: Changed &quot;realism&quot; to &quot;graphical fidelity&quot; to be more accurate, sorry about the confusion! 😅"
"131","Spider-Man: Across the Spider-Verse",2022-12-14,"The best superhero movies are the ones that remind us that these superheroes we see on T-shirts and backpacks are people that feel like we do.  They&#39;re not just action figures.  <br>They&#39;re characters in a story.  They&#39;re made to make you feel something."
"132","Spider-Man: Across the Spider-Verse",2022-12-13,"Gotta love how Gwen keeps her the hairstyle Miles accidentally caused from the first movie, (even though she&#39;s had time to grow it out again if she wanted to) as a memory of him"
"133","Spider-Man: Across the Spider-Verse",2022-12-13,"They&#39;re  so many easter eggs to unpack, thank you to everyone who worked to everyone who worked on these films and brought our childhood to life. This is how you make multiverse content."
"134","Spider-Man: Across the Spider-Verse",2022-12-13,"This is the perfect movie trailer. It doesn&#39;t spoil anything that big and most of all it makes you question the plot which then makes you infinitely hyped up for this film. Can&#39;t wait."
"135","Spider-Man: Across the Spider-Verse",2022-12-13,"Hard to believe that it&#39;s been almost 4 years since Into the Spider-Verse came out, now with the new trailer for Across The Spider-Verse released already, it&#39;s already exciting to see it all come together all at once! DEFINITELY excited for this one to come out next year for sure!"
"136","Spider-Man: Across the Spider-Verse",2022-12-13,"Huge love to the animation team for making this a thing. I hope everyones hard work on this movie won&#39;t go unnoticed."
"137","Spider-Man: Across the Spider-Verse",2022-12-13,"Awesome animation<br>Awesome storyline<br>Awesome characters<br>Awesome soundtracks<br><br>You name it! This series has all the potential to bag one more Oscar"
"138","Spider-Man: Across the Spider-Verse",2022-12-13,"First 37 seconds are enough of a trailer to know that this will be a good movie. No flashy stuff to lure me in, just going right at the feels and showing me that this is more... just.. more."
"139","Spider-Man: Across the Spider-Verse",2022-12-14,"I&#39;m excited for what this movie has to offer"
"140","Spider-Man: Across the Spider-Verse",2022-12-13,"Looks like we will see every rendition of Spidey we possibly can. Goosebumps!"
"141","Spider-Man: Across the Spider-Verse",2022-12-13,"Good to see B.Parker is on the movie; his dynamic with miles in the first movie was one of the best parts of it"
"142","Spider-Man: Across the Spider-Verse",2022-12-14,"Miles has such a bond with the other spidermen, how he has a sense, how he knows what is the right thing to do.<br><br>Edit: MOM IM FAMOUS"
"143","Spider-Man: Across the Spider-Verse",2022-12-14,"There&#39;s everyone in this film. And when I say everyone, I mean EVERYONE. It was nice to see so many versions of Spider-Man. Spider-Man 2099 looks absolutely savage. I cannot describe how hyped up I am. This feels like what a Spider-verse film should be."
"144","Spider-Man: Across the Spider-Verse",2023-01-14,"As one of the spider-people chasing that kid, the reason we were chasing him is… I have no clue why I was just following the crowd"
"145","Spider-Man: Across the Spider-Verse",2022-12-13,"Into the spiderverse is definitely one of the best spiderman movies of all time. Hope across the spiderverse can deliver the same amount of hype and fun!"
"146","Spider-Man: Across the Spider-Verse",2022-12-14,"I absolutely loved the first movie. From the graphics to the characters to the story to the music it was absolutely  amazing and beautiful. I&#39;m so excited for this movie."
"147","Spider-Man: Across the Spider-Verse",2022-12-31,"that chokeslam looked so BRUTAL"
"148","Spider-Man: Across the Spider-Verse",2022-12-13,"I&#39;m gotta be honest, that unexpected Stan Lee cameo bought a tear in my eye"
"149","Spider-Man: Across the Spider-Verse",2022-12-14,"This movie will probably deserve to be one of the top films of 2023 for the art direction alone, but the last movie wasn’t just beautiful art, it had a great story and plot.  Probably the movie I’m the most excited for."
"150","Spider-Man: Across the Spider-Verse",2022-12-13,"Let&#39;s be honest the amount of hardwork cast and crew has applied in this masterpiece is just beyond the limits 😍"
"151","Spider-Man: Across the Spider-Verse",2022-12-13,"I like how this style of animation gives ways to Spider-Man&#39;s of varying shapes and builds. I&#39;m used to seeing them all with standard physiques, it&#39;s kind of refreshing to see them with more bulky appearances as well."
"152","Spider-Man: Across the Spider-Verse",2022-12-14,"After being disappointed with many movies this year this one excites me"
"153","Guardians of the Galaxy Vol. 3",2022-12-01,"I&#39;m so happy that Rocket is finally going to get the backstory he deserves"
"154","Guardians of the Galaxy Vol. 3",2022-12-02,"This is one thing I love about the Guardians movies; they are comedic at its core, but also know when to hit you with the feels"
"155","Guardians of the Galaxy Vol. 3",2022-12-02,"I got chills when Rocket called Quill, &quot;Pete.&quot; When has he ever called him by his first name? That really stressed the importance of that moment. Almost a sense of finality."
"156","Guardians of the Galaxy Vol. 3",2022-12-01,"From being the Marvel&#39;s unknown team for non comic book readers to being one of the most memorable and solid MCU family in Pop culture"
"157","Guardians of the Galaxy Vol. 3",2022-12-02,"I love how Nebula is now a member of the Guardians making up for her past mistakes working for Ronan while also trying to honour her adopted sister"
"158","Guardians of the Galaxy Vol. 3",2022-12-01,"It&#39;s amazing how this group went from having a C list characters that not too many people heard in the comics to a huge A list characters in the movies aswell as became part of pop culture in various media. Goes to show how absolutely genius James Gunn is in taking care of these characters"
"159","Guardians of the Galaxy Vol. 3",2022-12-02,"&quot;Pete, I&#39;m done running.&quot;<br>I can already feel my heart breaking for Rocket. It almost seems like, to me at least, that this may be his ending."
"160","Guardians of the Galaxy Vol. 3",2022-12-02,"I love how they wear the colors of Yondu to honor him.. Which also matches to their comic accurate suits."
"161","Guardians of the Galaxy Vol. 3",2023-01-15,"The fact that the Guardians started as some underdogs that most people have never heard of, and now they are one of the most iconic superhero teams of the MCU and of all time, really sells out how their journey has come so far, while I&#39;m sad their story will end, I&#39;m glad that it happened"
"162","Guardians of the Galaxy Vol. 3",2022-12-02,"Two things: 1) Glad Gamora is finally making a reappearance, and 2) that “We are Groot” at the end honestly made me tear up a little 😢"
"163","Guardians of the Galaxy Vol. 3",2022-12-02,"The fact that we know this will be the last GotG movie with all the original characters makes this a thousand times more heartbreaking"
"164","Guardians of the Galaxy Vol. 3",2022-12-02,"This is cool that they&#39;re in their original costumes from the comics, always a pleasure to see marvel go back to it so iconic character designs"
